route,contraction_rank,rank,a_rank,b_rank,c_rank,max_carrier_rank,kernels,path,lines,refinement_sites,logical_dim_refs,refinement_value_refs,repetition,total_ms,parser_ms,output_ms,rest_ms
baseline_memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-8.mlir,145,0,0,0,17,5.400000,1.100000,0.600000,0.600000
baseline_memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-2.mlir,49,0,0,0,413,3.200000,0.900000,0.300000,0.600000
baseline_memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-8.mlir,145,0,0,0,622,4.700000,1.100000,0.600000,0.700000
baseline_memref,4,4,8,8,8,8,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-4.mlir,81,0,0,0,176,3.600000,1.000000,0.300000,0.600000
baseline_memref,32,32,64,64,64,64,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-32.mlir,529,0,0,0,40,13.200000,2.100000,1.500000,0.600000
memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-8.mlir,147,6,96,192,193,5.600000,1.300000,0.400000,1.100000
memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-2.mlir,51,6,24,48,773,2.500000,0.800000,0.100000,0.600000
baseline_memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-8.mlir,145,0,0,0,657,5.900000,1.200000,0.700000,0.700000
baseline_memref,16,16,32,32,32,32,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-16.mlir,273,0,0,0,26,6.300000,1.100000,0.800000,0.500000
memref,64,64,128,128,128,128,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-64.mlir,1043,6,768,1536,277,23.200000,10.700000,1.600000,0.900000
memref,64,64,128,128,128,128,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-64.mlir,1043,6,768,1536,695,22.700000,7.100000,1.700000,0.900000
memref,4,4,8,8,8,8,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-4.mlir,83,6,48,96,367,2.700000,0.700000,0.200000,0.600000
baseline_memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-2.mlir,49,0,0,0,820,3.200000,1.000000,0.300000,0.600000
memref,64,64,128,128,128,128,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-64.mlir,1043,6,768,1536,894,22.800000,7.900000,2.000000,0.900000
memref,64,64,128,128,128,128,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-64.mlir,1043,6,768,1536,227,18.400000,6.200000,1.700000,0.700000
memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-8.mlir,147,6,96,192,254,3.500000,0.800000,0.300000,0.600000
baseline_memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-2.mlir,49,0,0,0,206,2.800000,0.900000,0.200000,0.600000
baseline_memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-2.mlir,49,0,0,0,1,4.400000,1.300000,0.400000,1.000000
memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-2.mlir,51,6,24,48,176,2.500000,0.700000,0.100000,0.700000
baseline_memref,16,16,32,32,32,32,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-16.mlir,273,0,0,0,927,9.400000,2.400000,0.800000,0.900000
baseline_memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-2.mlir,49,0,0,0,885,2.500000,0.700000,0.200000,0.500000
memref,64,64,128,128,128,128,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-64.mlir,1043,6,768,1536,477,21.700000,6.700000,2.000000,0.900000
baseline_memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-8.mlir,145,0,0,0,483,5.100000,1.100000,0.600000,0.600000
memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-2.mlir,51,6,24,48,243,2.400000,0.700000,0.100000,0.700000
memref,16,16,32,32,32,32,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-16.mlir,275,6,192,384,150,5.300000,1.200000,0.500000,0.600000
baseline_memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-2.mlir,49,0,0,0,410,2.700000,0.900000,0.200000,0.500000
memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-2.mlir,51,6,24,48,379,4.600000,1.100000,0.300000,1.200000
memref,64,64,128,128,128,128,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-64.mlir,1043,6,768,1536,55,21.400000,9.200000,1.600000,0.700000
baseline_memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-8.mlir,145,0,0,0,780,4.300000,1.000000,0.500000,0.500000
baseline_memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-2.mlir,49,0,0,0,337,2.500000,0.700000,0.200000,0.500000
memref,4,4,8,8,8,8,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-4.mlir,83,6,48,96,898,4.300000,1.300000,0.300000,0.900000
baseline_memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-2.mlir,49,0,0,0,587,3.400000,1.000000,0.300000,0.700000
baseline_memref,64,64,128,128,128,128,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-64.mlir,1041,0,0,0,767,23.000000,5.800000,2.700000,0.800000
memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-8.mlir,147,6,96,192,965,4.500000,1.100000,0.400000,0.800000
baseline_memref,32,32,64,64,64,64,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-32.mlir,529,0,0,0,615,13.200000,2.200000,1.700000,0.700000
memref,64,64,128,128,128,128,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-64.mlir,1043,6,768,1536,654,19.800000,6.800000,1.600000,0.900000
memref,16,16,32,32,32,32,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-16.mlir,275,6,192,384,310,5.200000,1.100000,0.500000,0.600000
baseline_memref,64,64,128,128,128,128,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-64.mlir,1041,0,0,0,659,20.300000,3.000000,2.700000,0.700000
baseline_memref,4,4,8,8,8,8,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-4.mlir,81,0,0,0,248,3.500000,0.900000,0.400000,0.600000
baseline_memref,64,64,128,128,128,128,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-64.mlir,1041,0,0,0,965,24.900000,3.700000,3.200000,0.800000
baseline_memref,32,32,64,64,64,64,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-32.mlir,529,0,0,0,467,14.000000,2.000000,1.800000,0.700000
memref,16,16,32,32,32,32,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-16.mlir,275,6,192,384,819,5.700000,1.400000,0.500000,0.700000
memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-8.mlir,147,6,96,192,278,4.800000,1.100000,0.400000,0.700000
memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-2.mlir,51,6,24,48,254,2.300000,0.600000,0.100000,0.600000
memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-8.mlir,147,6,96,192,88,3.500000,0.800000,0.300000,0.600000
memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-2.mlir,51,6,24,48,481,3.500000,1.000000,0.200000,1.000000
baseline_memref,64,64,128,128,128,128,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-64.mlir,1041,0,0,0,968,21.300000,4.300000,2.700000,0.700000
baseline_memref,32,32,64,64,64,64,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-32.mlir,529,0,0,0,276,10.700000,1.600000,1.400000,0.600000
baseline_memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-2.mlir,49,0,0,0,925,2.600000,0.700000,0.200000,0.500000
baseline_memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-2.mlir,49,0,0,0,232,3.600000,0.900000,0.400000,0.700000
memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-8.mlir,147,6,96,192,422,4.400000,1.200000,0.400000,0.700000
memref,16,16,32,32,32,32,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-16.mlir,275,6,192,384,848,6.500000,1.500000,0.500000,0.700000
memref,64,64,128,128,128,128,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-64.mlir,1043,6,768,1536,6,20.400000,7.400000,1.600000,0.700000
baseline_memref,16,16,32,32,32,32,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/baseline-memref-contraction-rank-16.mlir,273,0,0,0,767,6.400000,1.100000,0.800000,0.600000
memref,64,64,128,128,128,128,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-64.mlir,1043,6,768,1536,975,18.100000,5.900000,1.600000,0.700000
memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-8.mlir,147,6,96,192,351,4.400000,0.900000,0.400000,0.700000
memref,32,32,64,64,64,64,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_18-09/generated_kernels/memref-contraction-rank-32.mlir,531,6,384,768,31,10.100000,2.800000,0.900000,0.700000
