route,contraction_rank,rank,a_rank,b_rank,c_rank,max_carrier_rank,kernels,lines,refinement_sites,logical_dim_refs,refinement_value_refs,repetitions,median_total_ms,mean_total_ms,min_total_ms,p25_total_ms,p75_total_ms,max_total_ms,stdev_total_ms,median_parser_ms,median_output_ms,median_rest_ms
baseline_memref,2,2,4,4,4,4,1,49,0,0,0,1000,3.100000,3.291300,2.400000,2.700000,3.500000,8.300000,0.864802,0.900000,0.300000,0.600000
baseline_memref,4,4,8,8,8,8,1,81,0,0,0,1000,3.600000,3.874600,2.900000,3.200000,4.100000,10.100000,0.979609,0.900000,0.400000,0.600000
baseline_memref,8,8,16,16,16,16,1,145,0,0,0,1000,4.900000,5.196400,4.000000,4.300000,5.600000,11.600000,1.213804,1.100000,0.500000,0.600000
baseline_memref,16,16,32,32,32,32,1,273,0,0,0,1000,7.600000,7.822200,6.000000,6.600000,8.300000,17.800000,1.603221,1.300000,0.900000,0.600000
baseline_memref,32,32,64,64,64,64,1,529,0,0,0,1000,11.900000,12.423400,10.500000,11.000000,13.100000,25.400000,1.904027,1.900000,1.400000,0.600000
baseline_memref,64,64,128,128,128,128,1,1041,0,0,0,1000,21.800000,22.620100,19.700000,20.700000,24.425000,34.600000,2.323231,3.500000,2.700000,0.700000
memref,2,2,4,4,4,4,1,51,6,24,48,1000,2.800000,2.980300,2.100000,2.400000,3.100000,7.400000,0.880055,0.700000,0.100000,0.700000
memref,4,4,8,8,8,8,1,83,6,48,96,1000,3.300000,3.527000,2.500000,2.900000,3.700000,8.200000,0.957239,0.800000,0.200000,0.700000
memref,8,8,16,16,16,16,1,147,6,96,192,1000,4.200000,4.468600,3.400000,3.700000,4.700000,11.800000,1.091937,1.000000,0.300000,0.700000
memref,16,16,32,32,32,32,1,275,6,192,384,1000,6.400000,6.586600,5.200000,5.500000,7.100000,14.600000,1.360372,1.500000,0.500000,0.800000
memref,32,32,64,64,64,64,1,531,6,384,768,1000,10.400000,10.680800,8.800000,9.300000,11.400000,21.500000,1.664122,2.700000,0.900000,0.700000
memref,64,64,128,128,128,128,1,1043,6,768,1536,1000,19.300000,19.919700,17.400000,18.100000,21.400000,30.000000,2.118294,6.600000,1.600000,0.800000
