route,contraction_rank,rank,a_rank,b_rank,c_rank,max_carrier_rank,kernels,path,lines,refinement_sites,logical_dim_refs,refinement_value_refs
baseline_memref,1,1,2,2,2,2,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-1.mlir,33,0,0,0
memref,1,1,2,2,2,2,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-1.mlir,35,6,12,24
baseline_memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-2.mlir,49,0,0,0
memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-2.mlir,51,6,24,48
baseline_memref,4,4,8,8,8,8,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-4.mlir,81,0,0,0
memref,4,4,8,8,8,8,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-4.mlir,83,6,48,96
baseline_memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-8.mlir,145,0,0,0
memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-8.mlir,147,6,96,192
baseline_memref,16,16,32,32,32,32,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-16.mlir,273,0,0,0
memref,16,16,32,32,32,32,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-16.mlir,275,6,192,384
baseline_memref,24,24,48,48,48,48,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-24.mlir,401,0,0,0
memref,24,24,48,48,48,48,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-24.mlir,403,6,288,576
baseline_memref,32,32,64,64,64,64,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-32.mlir,529,0,0,0
memref,32,32,64,64,64,64,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-32.mlir,531,6,384,768
