route,contraction_rank,rank,a_rank,b_rank,c_rank,max_carrier_rank,kernels,lines,refinement_sites,logical_dim_refs,refinement_value_refs,repetitions,median_total_ms,mean_total_ms,min_total_ms,p25_total_ms,p75_total_ms,max_total_ms,stdev_total_ms,median_parser_ms,median_output_ms,median_rest_ms
baseline_memref,1,1,2,2,2,2,1,33,0,0,0,1000,2.700000,2.969900,2.200000,2.300000,3.100000,7.000000,0.849733,0.800000,0.200000,0.600000
baseline_memref,2,2,4,4,4,4,1,49,0,0,0,1000,3.100000,3.306000,2.500000,2.600000,3.500000,8.100000,0.875106,0.800000,0.300000,0.600000
baseline_memref,4,4,8,8,8,8,1,81,0,0,0,1000,3.800000,4.067000,3.100000,3.200000,4.300000,9.600000,1.112847,0.900000,0.400000,0.600000
baseline_memref,8,8,16,16,16,16,1,145,0,0,0,1000,5.200000,5.457000,4.200000,4.500000,5.800000,11.900000,1.296106,1.000000,0.600000,0.600000
baseline_memref,16,16,32,32,32,32,1,273,0,0,0,1000,7.900000,8.267900,6.600000,6.900000,8.900000,18.300000,1.685972,1.400000,1.100000,0.600000
baseline_memref,24,24,48,48,48,48,1,401,0,0,0,1000,10.400000,10.967100,9.100000,9.500000,11.800000,19.500000,1.872788,1.700000,1.500000,0.600000
baseline_memref,32,32,64,64,64,64,1,529,0,0,0,1000,12.900000,13.395700,11.500000,11.900000,14.300000,24.000000,1.828490,2.000000,1.900000,0.600000
memref,1,1,2,2,2,2,1,35,6,12,24,1000,2.400000,2.587000,1.900000,2.000000,2.700000,6.800000,0.764065,0.600000,0.100000,0.700000
memref,2,2,4,4,4,4,1,51,6,24,48,1000,2.700000,2.899000,2.200000,2.300000,3.025000,6.700000,0.801824,0.700000,0.100000,0.700000
memref,4,4,8,8,8,8,1,83,6,48,96,1000,3.200000,3.412800,2.600000,2.700000,3.600000,8.100000,0.905735,0.700000,0.200000,0.700000
memref,8,8,16,16,16,16,1,147,6,96,192,1000,4.300000,4.651800,3.500000,3.700000,4.900000,11.200000,1.264182,0.900000,0.300000,0.700000
memref,16,16,32,32,32,32,1,275,6,192,384,1000,6.600000,6.991700,5.500000,5.800000,7.500000,14.700000,1.563299,1.400000,0.500000,0.700000
memref,24,24,48,48,48,48,1,403,6,288,576,1000,8.900000,9.461600,7.800000,8.100000,10.200000,20.300000,1.798249,1.900000,0.700000,0.700000
memref,32,32,64,64,64,64,1,531,6,384,768,1000,11.500000,12.114800,10.200000,10.600000,12.900000,21.200000,1.907816,2.600000,0.900000,0.700000
